page_id,page_type,original_size,compressed_size,compression_ratio,label,two_stage_pred,stage_used,stage1_score,stage2_ratio,feat_distinct,feat_max_freq_ratio,feat_zero_ratio,feat_run_count,stage1_only_pred
rand_0013.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.183125,-1.0,94,0.03125,0.0,1,incompressible
rand_0014.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.09328125,-1.0,104,0.03125,0.0078125,1,incompressible
rand_0015.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,103,0.0234375,0.015625,0,incompressible
rand_0016.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1753125,-1.0,97,0.0234375,0.0,1,incompressible
rand_0017.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,102,0.0234375,0.0078125,0,incompressible
rand_0018.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.18359375,-1.0,97,0.0234375,0.0078125,0,incompressible
rand_0019.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16359375,-1.0,97,0.0234375,0.0078125,1,incompressible
rand_0020.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1675,-1.0,96,0.03125,0.0,1,incompressible
rand_0021.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0022.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,104,0.0234375,0.0078125,0,incompressible
rand_0023.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15234375,-1.0,101,0.0234375,0.0078125,0,incompressible
rand_0024.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13625,-1.0,100,0.03125,0.0,1,incompressible
rand_0025.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.17140625,-1.0,96,0.0234375,0.0078125,1,incompressible
rand_0026.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16015625,-1.0,100,0.0234375,0.0078125,0,incompressible
rand_0027.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0028.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,101,0.03125,0.0,0,incompressible
rand_0029.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1796875,-1.0,99,0.0234375,0.0,0,incompressible
rand_0030.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1171875,-1.0,103,0.0390625,0.0,0,incompressible
rand_0031.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,105,0.0234375,0.0,0,incompressible
rand_0032.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,98,0.03125,0.0,0,incompressible
rand_0033.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,99,0.03125,0.0,0,incompressible
rand_0034.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.08546875,-1.0,105,0.03125,0.0078125,1,incompressible
rand_0035.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1284375,-1.0,103,0.0234375,0.0,1,incompressible
rand_0036.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,100,0.0234375,0.0,0,incompressible
rand_0037.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,92,0.046875,0.0,0,incompressible
rand_0038.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.11328125,-1.0,106,0.0234375,0.0078125,0,incompressible
rand_0039.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16015625,-1.0,100,0.0234375,0.0078125,0,incompressible
rand_0040.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,99,0.0234375,0.0234375,0,incompressible
rand_0041.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13671875,-1.0,101,0.03125,0.0078125,0,incompressible
rand_0042.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.151875,-1.0,100,0.0234375,0.0,1,incompressible
rand_0043.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0044.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15578125,-1.0,98,0.0234375,0.0078125,1,incompressible
rand_0045.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1440625,-1.0,101,0.0234375,0.0,1,incompressible
rand_0046.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1596875,-1.0,97,0.03125,0.0,1,incompressible
rand_0047.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1015625,-1.0,104,0.03125,0.015625,0,incompressible
rand_0048.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0049.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16796875,-1.0,97,0.03125,0.0078125,0,incompressible
rand_0050.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,102,0.0234375,0.0078125,0,incompressible
rand_0051.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12406249999999999,-1.0,99,0.03125,0.0,2,incompressible
rand_0052.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.120625,-1.0,102,0.03125,0.0,1,incompressible
rand_0053.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,104,0.0234375,0.0078125,0,incompressible
rand_0054.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,98,0.0234375,0.0,0,incompressible
rand_0055.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16015625,-1.0,98,0.03125,0.0078125,0,incompressible
rand_0056.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.203125,-1.0,94,0.03125,0.0,0,incompressible
rand_0057.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,98,0.0234375,0.0,0,incompressible
rand_0058.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,101,0.0234375,0.0,0,incompressible
rand_0059.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1596875,-1.0,95,0.0390625,0.0,1,incompressible
rand_0060.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1675,-1.0,98,0.0234375,0.0,1,incompressible
rand_0061.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0062.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,101,0.0234375,0.0,0,incompressible
rand_0063.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.08546875,-1.0,107,0.0234375,0.0078125,1,incompressible
rand_0064.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12109375,-1.0,105,0.0234375,0.0078125,0,incompressible
rand_0065.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,98,0.0234375,0.0,0,incompressible
rand_0066.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.203125,-1.0,94,0.03125,0.0,0,incompressible
rand_0067.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.11234374999999999,-1.0,101,0.0234375,0.0078125,2,incompressible
rand_0068.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0069.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13625,-1.0,102,0.0234375,0.0,1,incompressible
rand_0070.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1128125,-1.0,102,0.0234375,0.015625,1,incompressible
rand_0071.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,101,0.0234375,0.0,0,incompressible
rand_0072.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.11624999999999999,-1.0,100,0.03125,0.0,2,incompressible
rand_0073.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1796875,-1.0,99,0.0234375,0.0,0,incompressible
rand_0074.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,96,0.03125,0.0,0,incompressible
rand_0075.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,98,0.03125,0.0,0,incompressible
rand_0076.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,102,0.0234375,0.0078125,0,incompressible
rand_0077.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0078.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.09328125,-1.0,106,0.0234375,0.0078125,1,incompressible
rand_0079.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14015625,-1.0,100,0.0234375,0.0078125,1,incompressible
rand_0080.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16796875,-1.0,96,0.0234375,0.0234375,0,incompressible
rand_0081.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,105,0.0234375,0.0,0,incompressible
rand_0082.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,102,0.0234375,0.0078125,0,incompressible
rand_0083.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,99,0.03125,0.0,0,incompressible
rand_0084.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0085.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,100,0.0234375,0.0,0,incompressible
rand_0086.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,103,0.0234375,0.015625,0,incompressible
rand_0087.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,102,0.0234375,0.015625,0,incompressible
rand_0088.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0089.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1796875,-1.0,97,0.03125,0.0,0,incompressible
rand_0090.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1171875,-1.0,107,0.0234375,0.0,0,incompressible
rand_0091.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0092.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,98,0.03125,0.0,0,incompressible
rand_0093.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,98,0.0234375,0.0,0,incompressible
rand_0094.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1675,-1.0,98,0.0234375,0.0,1,incompressible
rand_0095.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,100,0.0234375,0.0,0,incompressible
rand_0096.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.08546875,-1.0,105,0.03125,0.0078125,1,incompressible
rand_0097.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1675,-1.0,96,0.03125,0.0,1,incompressible
rand_0098.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1440625,-1.0,99,0.03125,0.0,1,incompressible
rand_0099.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0100.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16796875,-1.0,99,0.0234375,0.0078125,0,incompressible
rand_0101.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0102.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10890625,-1.0,102,0.03125,0.0078125,1,incompressible
rand_0103.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,100,0.03125,0.0078125,0,incompressible
rand_0104.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,102,0.0234375,0.015625,0,incompressible
rand_0105.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,102,0.03125,0.0078125,0,incompressible
rand_0106.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1171875,-1.0,104,0.0234375,0.015625,0,incompressible
rand_0107.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,103,0.0234375,0.0,0,incompressible
rand_0108.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.203125,-1.0,94,0.03125,0.0,0,incompressible
rand_0109.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1440625,-1.0,101,0.0234375,0.0,1,incompressible
rand_0110.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12453125,-1.0,102,0.0234375,0.0078125,1,incompressible
rand_0111.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16796875,-1.0,99,0.0234375,0.0078125,0,incompressible
rand_0112.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,104,0.03125,0.0,0,incompressible
rand_0113.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,106,0.0234375,0.0,0,incompressible
rand_0114.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1171875,-1.0,107,0.0234375,0.0,0,incompressible
rand_0115.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,98,0.0234375,0.015625,0,incompressible
rand_0116.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0117.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13671875,-1.0,103,0.0234375,0.0078125,0,incompressible
rand_0118.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.09765625,-1.0,106,0.03125,0.0078125,0,incompressible
rand_0119.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,105,0.0234375,0.0,0,incompressible
rand_0120.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,103,0.0234375,0.015625,0,incompressible
rand_0121.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,101,0.0234375,0.0,0,incompressible
rand_0122.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,98,0.03125,0.0,0,incompressible
rand_0123.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.16015625,-1.0,100,0.0234375,0.0078125,0,incompressible
rand_0124.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13625,-1.0,102,0.0234375,0.0,1,incompressible
rand_0125.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0126.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.058124999999999996,-1.0,106,0.046875,0.0,1,incompressible
rand_0127.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1284375,-1.0,103,0.0234375,0.0,1,incompressible
rand_0128.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1675,-1.0,96,0.03125,0.0,1,incompressible
rand_0129.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15234375,-1.0,101,0.0234375,0.0078125,0,incompressible
rand_0130.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,102,0.0234375,0.0078125,0,incompressible
rand_0131.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1128125,-1.0,103,0.03125,0.0,1,incompressible
rand_0132.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0133.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1796875,-1.0,97,0.03125,0.0,0,incompressible
rand_0134.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1328125,-1.0,103,0.03125,0.0,0,incompressible
rand_0135.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12453125,-1.0,102,0.0234375,0.0078125,1,incompressible
rand_0136.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10843749999999999,-1.0,103,0.0234375,0.0,2,incompressible
rand_0137.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,106,0.0234375,0.0,0,incompressible
rand_0138.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,97,0.03125,0.015625,0,incompressible
rand_0139.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,103,0.015625,0.015625,0,incompressible
rand_0140.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.151875,-1.0,98,0.03125,0.0,1,incompressible
rand_0141.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1875,-1.0,98,0.0234375,0.0,0,incompressible
rand_0142.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1171875,-1.0,105,0.03125,0.0,0,incompressible
rand_0143.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,103,0.0234375,0.015625,0,incompressible
rand_0144.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,102,0.03125,0.0,0,incompressible
rand_0145.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,100,0.03125,0.0,0,incompressible
rand_0146.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12406249999999999,-1.0,98,0.0234375,0.015625,2,incompressible
rand_0147.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.151875,-1.0,100,0.0234375,0.0,1,incompressible
rand_0148.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.11328125,-1.0,103,0.0234375,0.0234375,0,incompressible
rand_0149.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1596875,-1.0,99,0.0234375,0.0,1,incompressible
rand_0150.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.131875,-1.0,100,0.0234375,0.0,2,incompressible
rand_0151.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12453125,-1.0,102,0.0234375,0.0078125,1,incompressible
rand_0152.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,100,0.03125,0.0,0,incompressible
rand_0153.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14453125,-1.0,99,0.0234375,0.0234375,0,incompressible
rand_0154.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1596875,-1.0,99,0.0234375,0.0,1,incompressible
rand_0155.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13625,-1.0,100,0.03125,0.0,1,incompressible
rand_0156.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,103,0.015625,0.0,0,incompressible
rand_0157.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13671875,-1.0,103,0.0234375,0.0078125,0,incompressible
rand_0158.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.0859375,-1.0,111,0.0234375,0.0,0,incompressible
rand_0159.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13234375,-1.0,101,0.0234375,0.0078125,1,incompressible
rand_0160.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10062499999999999,-1.0,102,0.03125,0.0,2,incompressible
rand_0161.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.120625,-1.0,104,0.0234375,0.0,1,incompressible
rand_0162.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,104,0.0234375,0.0,0,incompressible
rand_0163.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.125,-1.0,103,0.0234375,0.015625,0,incompressible
rand_0164.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10843749999999999,-1.0,103,0.0234375,0.0,2,incompressible
rand_0165.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.4296875,-1.0,63,0.0390625,0.0,0,incompressible
rand_0166.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1953125,-1.0,97,0.0234375,0.0,0,incompressible
rand_0167.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,98,0.0234375,0.015625,0,incompressible
rand_0168.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1640625,-1.0,99,0.03125,0.0,0,incompressible
rand_0169.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.058124999999999996,-1.0,109,0.0234375,0.015625,1,incompressible
rand_0170.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,104,0.0234375,0.0078125,0,incompressible
rand_0171.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1284375,-1.0,103,0.0234375,0.0,1,incompressible
rand_0172.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.13671875,-1.0,100,0.0234375,0.0234375,0,incompressible
rand_0173.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1596875,-1.0,99,0.0234375,0.0,1,incompressible
rand_0174.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,100,0.0234375,0.0,0,incompressible
rand_0175.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.0815625,-1.0,104,0.03125,0.015625,1,incompressible
rand_0176.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12109375,-1.0,105,0.0234375,0.0078125,0,incompressible
rand_0177.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0178.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,104,0.0234375,0.0078125,0,incompressible
rand_0179.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.140625,-1.0,102,0.03125,0.0,0,incompressible
rand_0180.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10453124999999999,-1.0,102,0.0234375,0.0078125,2,incompressible
rand_0181.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,95,0.03125,0.015625,0,incompressible
rand_0182.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1128125,-1.0,101,0.0390625,0.0,1,incompressible
rand_0183.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1196875,-1.0,97,0.03125,0.0,3,incompressible
rand_0184.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.14015625,-1.0,100,0.0234375,0.0078125,1,incompressible
rand_0185.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1796875,-1.0,97,0.03125,0.0,0,incompressible
rand_0186.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.171875,-1.0,100,0.0234375,0.0,0,incompressible
rand_0187.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.10109375,-1.0,101,0.0390625,0.0078125,1,incompressible
rand_0188.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.11328125,-1.0,104,0.03125,0.0078125,0,incompressible
rand_0189.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12796875,-1.0,99,0.0234375,0.0078125,2,incompressible
rand_0190.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.15625,-1.0,102,0.0234375,0.0,0,incompressible
rand_0191.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.07718749999999999,-1.0,100,0.0390625,0.015625,2,incompressible
rand_0192.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.12890625,-1.0,102,0.03125,0.0078125,0,incompressible
rand_0193.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1440625,-1.0,101,0.0234375,0.0,1,incompressible
rand_0194.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.09671874999999999,-1.0,101,0.03125,0.0078125,2,incompressible
rand_0195.bin,rand,4096,4119,1.005615234375,incompressible,incompressible,stage1,-0.1484375,-1.0,100,0.0234375,0.015625,0,incompressible
